ID	AlternateID	Annotation
gene_544		product_name=hypothetical protein
gene_546		product_name=putative monocarboxylate transporter
gene_547		product_name=Acyl-CoA dehydrogenase/oxidase%2C N-terminal and middle domain-containing protein
gene_548		product_name=putative acyl-CoA transferases/carnitine dehydratase
gene_551		product_name=putative threonine aldolase
gene_557		product_name=S-adenosyl-L-methionine-dependent methyltransferase
gene_559		product_name=hypothetical protein
gene_561		product_name=hypothetical protein
gene_564		product_name=putative ribonuclease p/mrp subunit
gene_565		product_name=Protein of unknown function (DUF3533)-domain containing protein
gene_566		product_name=S-adenosyl-L-methionine-dependent methyltransferase
gene_568		product_name=hypothetical protein
gene_569		product_name=hypothetical protein
gene_570		product_name=Six-hairpin glycosidase-like protein
gene_574		product_name=hypothetical protein
gene_575		product_name=hypothetical protein
gene_577		product_name=hypothetical protein
gene_578		product_name=putative carnitinyl-CoA dehydratase
gene_586		product_name=putative choline dehydrogenase
gene_587		product_name=Probable endo-beta-1%2C4-glucanase D
gene_589		product_name=Protein of unknown function (DUF1688)-domain containing protein
gene_598		product_name=putative Rieske 2Fe-2S family protein
gene_600		product_name=GroES (chaperonin 10)-like protein
gene_607		product_name=putative cytochrome P450 monooxygenase
gene_608		product_name=putative FAD-binding oxidoreductase
gene_612		product_name=putative C-14 sterol reductase
gene_613		product_name=cell wall glucanase/allergen F16-like protein
gene_615		product_name=acetyltransferase%2C GNAT family
gene_619		product_name=putative zinc finger protein DHHC domain-containing protein
gene_621		product_name=DUF1295 domain protein
gene_623		product_name=hypothetical protein
gene_624		product_name=hypothetical protein
gene_625		product_name=putative serine/threonine protein kinase
gene_626		product_name=OPA3 domain protein
gene_630		product_name=WD repeat protein
gene_633		product_name=hypothetical protein
gene_635		product_name=hypothetical protein
gene_637		product_name=hypothetical protein
gene_638		product_name=hypothetical protein
gene_639		product_name=oxidoreductase
gene_643		product_name=hypothetical protein
gene_645		product_name=aldehyde dehydrogenase family protein
gene_646		product_name=integral membrane protein
gene_652		product_name=hypothetical protein
gene_653		product_name=putative bZIP transcription factor
gene_654		product_name=hypothetical protein
gene_655		product_name=ATP synthase subunit 4
gene_656		product_name=putative nucleolar protein
gene_659		product_name=hypothetical protein
gene_660		product_name=hypothetical protein
gene_664		product_name=hypothetical protein
gene_666		product_name=putative signal peptidase complex component
gene_667		product_name=methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
gene_668		product_name=alpha subunit of F0F1-type ATP synthase
gene_669		product_name=DUF962 domain protein
gene_671		product_name=hypothetical protein
gene_675		product_name=peroxisomal targeting signal receptor AoPex5
gene_677		product_name=thiamine pyrophosphate-requiring enzyme
gene_678		product_name=S-adenosyl-L-methionine-dependent methyltransferase
gene_679		product_name=putative cysteine synthase
gene_680		product_name=Myb-like DNA-binding domain protein
gene_682		product_name=Clr5 domain-domain containing protein
gene_685		product_name=hypothetical protein
gene_687		product_name=Protein of unknown function (DUF3807)-domain containing protein
gene_689		product_name=neutral amino acid permease
gene_690		product_name=hypothetical protein
gene_691		product_name=hypothetical protein
gene_693		product_name=dihydrodipicolinate synthase/N-acetylneuraminate lyase
gene_694		product_name=putative beta-N-acetylhexosaminidase NagA
gene_695		product_name=hypothetical protein
gene_699		product_name=hypothetical protein
gene_702		product_name=putative small nuclear ribonucleo protein SmG
gene_703		product_name=putative transcription initiation factor TFIID subunit TSM1/127kD
gene_705		product_name=putative choline transporter Hnm1
gene_706		product_name=Phox homologous domain-containing protein
gene_720		product_name=putative ribonuclease P complex subunit Pop2
gene_723		product_name=putative ribosome biogenesis protein
gene_726		product_name=acetoacetyl-CoA synthase
gene_730		product_name=hypothetical protein
gene_734		product_name=Domain of unknown function (DUF1338)-domain containing protein
gene_735		product_name=putative L-PSP endoribonuclease family protein
gene_736		product_name=putative aldehyde dehydrogenase
gene_737		product_name=putative 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase
gene_739		product_name=hypothetical protein
gene_744		product_name=hypothetical protein
gene_751		product_name=putative allantoate permease
gene_752		product_name=putative ureidoglycolate hydrolase
gene_754		product_name=putative pre-mRNA splicing helicase
gene_755		product_name=oligopeptidase family protein
gene_756		product_name=hypothetical protein
gene_757		product_name=Glycosyl hydrolase%2C five-bladed beta-propellor domain-containing protein
gene_760		product_name=S-adenosyl-L-methionine-dependent methyltransferase
gene_762		product_name=putative group II pyridoxal-5-phosphate decarboxylase
gene_764		product_name=seryl-tRNA synthetase
gene_765		product_name=putative cytochrome b561
gene_766		product_name=hypothetical protein
gene_767		product_name=putative putative acyl-CoA:6-aminopenicillanic-acid-acyltransferase
gene_770		product_name=hypothetical protein
gene_773		product_name=putative sensor histidine kinase/response regulator
gene_780		product_name=conidiophore development protein HymA
gene_781		product_name=putative TBC domain protein
gene_782		product_name=hypothetical protein
gene_784		product_name=putative guanine nucleotide exchange factor
gene_785		product_name=hypothetical protein
gene_787		product_name=G protein complex alpha subunit GanA
gene_789		product_name=putative vacuolar ATP synthase 16 kDa proteolipid subunit
gene_790		product_name=hypothetical protein
gene_791		product_name=plasma membrane proteolipid 3
gene_794		product_name=putative lipase/serine esterase
gene_797		product_name=component of the U4/U6.U5 snRNP/mitosis protein
gene_799		product_name=putative glutathione peroxidase Hyr1
gene_800		product_name=hypothetical protein
gene_802		product_name=hypothetical protein
gene_803		product_name=putative cytochrome B2
gene_805		product_name=hypothetical protein
gene_807		product_name=hypothetical protein
gene_808		product_name=hypothetical protein
gene_810		product_name=gamma subunit of F0F1-type ATP synthase
gene_811		product_name=topoisomerase I
gene_812		product_name=putative epimerase/dehydratase family protein
gene_815		product_name=cytosolic Ca2+-dependent cysteine protease
gene_817		product_name=hypothetical protein
gene_818		product_name=Adenylate kinase-domain containing protein
gene_819		product_name=Eukaryotic and archaeal DNA primase%2C large subunit-domain containing protein
gene_821		product_name=Ribosomal protein L11
gene_822		product_name=hypothetical protein
gene_823		product_name=O-linked N-acetylglucosamine transferase OGT
gene_826		product_name=hypothetical protein
gene_827		product_name=hypothetical protein
gene_828		product_name=putative glycosyl hydrolase
gene_829		product_name=putative sugar transporter
gene_833		product_name=putative ATP synthase delta chain%2C mitochondrial precursor
gene_835		product_name=putative L-cystine transporter
gene_836		product_name=putative C2H2 transcription factor
gene_839		product_name=putative dUTPase
gene_845		product_name=putative mitotic check point protein
gene_848		product_name=hypothetical protein
gene_849		product_name=6-phosphogluconolactonase like protein
gene_852		product_name=hypothetical protein
gene_853		product_name=hypothetical protein
gene_854		product_name=putative MYND domain protein
gene_856		product_name=dolichol phosphate-mannose biosynthesis regulatory protein Dpm2
gene_857		product_name=hypothetical protein
gene_858		product_name=putative HD superfamily hydrolase
gene_861		product_name=ADP-ribosylglycohydrolase family protein
gene_863		product_name=putative DEAD box helicase Mph1
gene_864		product_name=hypothetical protein
gene_865		product_name=Heterokaryon incompatibility protein (HET)-domain containing protein
gene_867		product_name=Mediator complex protein-domain containing protein
gene_868		product_name=putative transcription initiation factor TFIID subunit
gene_870		product_name=mitochondrial integral membrane protein
gene_872		product_name=1%2C4-benzoquinone reductase-like Trp repressor binding protein
gene_873		product_name=mRNA 3'-end-processing protein yth1
gene_874		product_name=putative class V chitinase
gene_876		product_name=Asparaginase/glutaminase
gene_879		product_name=hypothetical protein
gene_880		product_name=putative cell cycle inhibitor Nif1
gene_882		product_name=Fungal family of unknown function (DUF1776)-domain containing protein
gene_885		product_name=putative ARP2/3 complex 34 kDa subunit
gene_886		product_name=TPR domain protein
gene_889		product_name=TPR domain protein
gene_891		product_name=Protein phosphatase 2C (PP2C)-like domain-containing protein
gene_892		product_name=hypothetical protein
gene_895		product_name=hypothetical protein
gene_897		product_name=putative 2-heptaprenyl-1%2C4-naphthoquinone methyltransferase
gene_898		product_name=Alpha/Beta hydrolase fold
gene_899		product_name=aspartyl-tRNA synthetase%2C cytoplasmic
gene_900		product_name=hypothetical protein
gene_902		product_name=hypothetical protein
gene_903		product_name=putative P-type ATPase
gene_905		product_name=putative origin recognition complex subunit Orc5
gene_909		product_name=putative DNA-directed RNA polymerase III%2C beta subunit
gene_910		product_name=putative indole-diterpene biosynthesis protein PaxU
gene_911		product_name=ubiquitin fusion-degradation protein
gene_912		product_name=hypothetical protein
gene_914		product_name=putative paramyosin
gene_916		product_name=hypothetical protein
gene_917		product_name=hypothetical protein
gene_918		product_name=2-keto-4-pentenoate hydratase
gene_919		product_name=hypothetical protein
gene_922		product_name=hypothetical protein
gene_923		product_name=Thioesterase-like superfamily-domain containing protein
gene_924		product_name=hypothetical protein
gene_925		product_name=hypothetical protein
gene_926		product_name=hypothetical protein
gene_929		product_name=putative ARS binding protein Abp2
gene_931		product_name=hypothetical protein
gene_932		product_name=hypothetical protein
gene_934		product_name=RNA-binding protein required for biogenesis of the ribosomal 60S subunit
gene_936		product_name=putative ras GTPase Rab11
gene_940		product_name=putative glycogen debranching enzyme Gdb1
gene_944		product_name=phospho-2-dehydro-3-deoxyheptonate aldolase%2C phenylalanine-inhibited
gene_946		product_name=hypothetical protein
gene_949		product_name=putative secretion pathway protein Sls2/Rcy1
gene_951		product_name=translation initiation factor 3%2C subunit B
gene_952		product_name=SWIB/MDM2 domain protein
gene_953		product_name=putative C2H2 finger domain protein
gene_956		product_name=hypothetical protein
gene_957		product_name=nucleoside diphosphatase Gda1
gene_959		product_name=Protein of unknown function (DUF3602)-domain containing protein
gene_961		product_name=integral membrane protein
gene_964		product_name=putative AMP dependent ligase/synthetase
gene_965		product_name=integral membrane protein
gene_966		product_name=hypothetical protein
gene_969		product_name=hypothetical protein
gene_979		product_name=integral membrane protein
gene_982		product_name=hypothetical protein
gene_985		product_name=hypothetical protein
gene_991		product_name=hypothetical protein
gene_994		product_name=putative protein kinase and ribonuclease Ire1
gene_997		product_name=hypothetical protein
gene_998		product_name=hypothetical protein
gene_1000		product_name=Fe2+/Zn2+ regulated transporter
gene_1001		product_name=Acyl-CoA N-acyltransferase
gene_1002		product_name=acetyltransferase%2C GNAT family
gene_1007		product_name=hypothetical protein
gene_1012		product_name=putative pantothenate transporter
gene_1014		product_name=Fungal specific transcription factor domain-domain containing protein
gene_1018		product_name=hypothetical protein
gene_1019		product_name=hypothetical protein
gene_1023		product_name=putative efflux pump antibiotic resistance protein
gene_1024		product_name=hypothetical protein
gene_1025		product_name=hypothetical protein
gene_1027		product_name=hypothetical protein
gene_1028		product_name=putative short-chain dehydrogenase
gene_1029		product_name=permease of the major facilitator superfamily
gene_1032		product_name=putative GMC oxidoreductase
gene_1033		product_name=putative glycosyl transferase
gene_1037		product_name=putative Sin3-associated polypeptide Sap18
gene_1038		product_name=U5 snRNP-associated RNA splicing factor
gene_1039		product_name=hypothetical protein
gene_1047		product_name=hypothetical protein
gene_1051		product_name=putative ABC multidrug transporter
gene_1053		product_name=hypothetical protein
gene_1058		product_name=putative NRPS-like enzyme
gene_1060		product_name=hypothetical protein
gene_1061		product_name=sphingolipid hydroxylase
gene_1063		product_name=putative C6 transcription factor
gene_1064		product_name=putative signal recognition particle 19 kDa protein
gene_1065		product_name=aminotransferase%2C class III
gene_1066		product_name=cleavage and polyadenylation specifity factor%2C 73 kDa subunit
gene_1067		product_name=hypothetical protein
gene_1068		product_name=dual specificity protein kinase
gene_1073		product_name=hypothetical protein
gene_1074		product_name=Uncharacterized conserved protein (DUF2293)-domain containing protein
gene_1081		product_name=hypothetical protein
gene_1085		product_name=hypothetical protein
gene_1089		product_name=hypothetical protein
gene_1090		product_name=putative 4%2C5-DOPA dioxygenase extRadiol
gene_1093		product_name=hypothetical protein
gene_1094		product_name=hypothetical protein
gene_1096		product_name=hypothetical protein
gene_1097		product_name=hypothetical protein
gene_1099		product_name=hypothetical protein
gene_1100		product_name=putative GNAT family N-acetyltransferase
gene_1101		product_name=hypothetical protein
gene_1103		product_name=putative Swr1p complex component
gene_1105		product_name=short chain dehydrogenase family protein
gene_1106		product_name=hypothetical protein
gene_1108		product_name=hypothetical protein
gene_1109		product_name=Major facilitator superfamily domain-containing protein
gene_1110		product_name=dihydroorotase%2C homodimeric type
gene_1111		product_name=putative MIND kinetochore complex component Mtw1
gene_1114		product_name=hypothetical protein
gene_1115		product_name=CENP-S associating Centromere protein X-domain containing protein
gene_1118		product_name=putative 40S ribosomal protein S20
gene_1119		product_name=putative heme/steroid binding domain protein
gene_1123		product_name=putative conidiation-specific protein (Con-10)
gene_1124		product_name=putative thioredoxin
gene_1125		product_name=putative ABC ATPase
gene_1127		product_name=Ankyrin repeat-containing domain protein
gene_1129		product_name=putative potassium transporter
gene_1130		product_name=putative ribosome assembly protein Noc2
gene_1131		product_name=vacuolar sorting protein
gene_1132		product_name=putative glucose-inducible SAM-dependent methyltransferase Rrg1
gene_1133		product_name=hypothetical protein
gene_1135		product_name=putative mitochondrial F1F0-ATP synthase g subunit
gene_1136		product_name=sorbitol dehydrogenase
gene_1137		product_name=putative dimethylallyl tryptophan synthase
gene_1141		product_name=maltase glucoamylase
gene_1142		product_name=putative TIM barrel metal-dependent hydrolase
gene_1143		product_name=putative transporter
gene_1144		product_name=putative C6 transcription factor
gene_1145		product_name=threonyl-tRNA synthetase
gene_1147		product_name=extracellular cell wall glucanase Crf1/allergen Asp F9
gene_1149		product_name=putative MAP kinase
gene_1152		product_name=putative laccase
gene_1153		product_name=putative non-hemolytic phospholipase C precursor
gene_1155		product_name=ubiquitin carbon terminal hydrolase
gene_1156		product_name=putative integral membrane protein
gene_1157		product_name=putative C6 transcription factor rosa-like
gene_1158		product_name=40S ribosomal protein S28
gene_1160		product_name=putative sterol delta 5%2C6-desaturase
gene_1163		product_name=putative homeobox and C2H2 transcription factor
gene_1164		product_name=SacI domain protein
gene_1167		product_name=medium subunit of clathrin adaptor complex
gene_1170		product_name=hypothetical protein
gene_1171		product_name=putative fatty acid hydroxylase
gene_1172		product_name=transcriptional coactivator caper
gene_1173		product_name=putative glutathione S-transferase
gene_1175		product_name=CDP-diacylglycerol-inositol 3-phosphatidyltransferase PIS
gene_1176		product_name=3-isopropylmalate dehydrogenase Leu2A
gene_1177		product_name=anaphase promoting complex subunit 10
gene_1178		product_name=putative phosphatidylserine decarboxylase
gene_1179		product_name=hypothetical protein
gene_1180		product_name=hypothetical protein
gene_1185		product_name=putative epoxide hydrolase
gene_1186		product_name=40S ribosomal protein S15/S22
gene_1190		product_name=hypothetical protein
gene_1192		product_name=Endonuclease/exonuclease/phosphatase
gene_1195		product_name=hypothetical protein
gene_1196		product_name=hypothetical protein
gene_1197		product_name=hypothetical protein
gene_1198		product_name=helix-loop-helix DNA-binding domain protein
gene_1199		product_name=putative nucleic acid-binding protein
gene_1200		product_name=succinate dehydrogenase cytochrome b small subunit
gene_1205		product_name=DnaJ domain protein
gene_1206		product_name=putative C6 transcription factor
gene_1208		product_name=hypothetical protein
gene_1209		product_name=putative GTP-binding protein
gene_1210		product_name=putative JmjC domain protein
gene_1213		product_name=putative homeobox and C2H2 transcription factor
gene_1214		product_name=hypothetical protein
gene_1216		product_name=putative ubiquitin-conjugating enzyme
gene_1217		product_name=hypothetical protein
gene_1222		product_name=putative 2-oxoglutarate dehydrogenase
gene_1224		product_name=putative dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase
gene_1225		product_name=peroxisomal targeting signal type 2 receptor
gene_1227		product_name=putative L-ascorbate oxidase
gene_1228		product_name=hypothetical protein
gene_1233		product_name=putative dehydrogenase
gene_1236		product_name=Peptidase C13 family-domain containing protein
gene_1241		product_name=Mitochondrial carrier domain-containing protein
gene_1248		product_name=putative trehalase
gene_1251		product_name=molecular chaperone Prefoldin%2C subunit 4
gene_1252		product_name=hypothetical protein
gene_1254		product_name=putative autophagy protein Atg27
gene_1255		product_name=hypothetical protein
gene_1256		product_name=putative heat shock protein Hsp98/Hsp104/ClpA
gene_1259		product_name=putative choline transport protein
gene_1264		product_name=hypothetical protein
gene_1265		product_name=putative pyridoxal reductase
gene_1266		product_name=hypothetical protein
gene_1279		product_name=putative sugar 1%2C4-lactone oxidase
gene_1280		product_name=putative C6 transcription factor
gene_1281		product_name=molecular chaperone
gene_1282		product_name=hypothetical protein
gene_1284		product_name=SPRY domain-containing protein
gene_1285		product_name=putative camp-specific phosphodiesterase
gene_1286		product_name=putative N-acylethanolamine amidohydrolase
gene_1287		product_name=putative GPI anchor biosynthesis protein Gwt1
gene_1288		product_name=hypothetical protein
gene_1290		product_name=putative acyl-coa dehydrogenase
gene_1291		product_name=hypothetical protein
gene_1292		product_name=Senescence-associated protein-domain containing protein
gene_1293		product_name=putative serine/threonine protein kinase
gene_1294		product_name=hypothetical protein
gene_1295		product_name=hypothetical protein
gene_1297		product_name=Mitochondrial distribution and morphology protein 12
gene_1298		product_name=putative aspartyl protease
gene_1305		product_name=hypothetical protein
gene_1306		product_name=putative C2H2 transcription factor
gene_1307		product_name=hypothetical protein
gene_1308		product_name=hypothetical protein
gene_1310		product_name=hypothetical protein
gene_1312		product_name=Integral membrane protein S linking to the trans Golgi network-domain containing protein
gene_1313		product_name=Cytochrome oxidase c subunit VIb-domain containing protein
gene_1314		product_name=putative arginine/serine-rich splicing factor
gene_1315		product_name=peptidyl-tRNA hydrolase domain protein
gene_1316		product_name=HAT (half-A-TPR) repeat-containing protein
gene_1321		product_name=Sec23/Sec24 family protein
gene_1323		product_name=putative extracellular thaumatin domain protein
gene_1327		product_name=Protein of unknown function (DUF2434)-domain containing protein
gene_1329		product_name=camp independent regulatory protein
gene_1330		product_name=putative asparaginyl-tRNA synthetase Slm5
gene_1331		product_name=hypothetical protein
gene_1334		product_name=putative histone acetyltransferase
gene_1335		product_name=chaperonin complex component%2C TCP-1 zeta subunit
gene_1336		product_name=hypothetical protein
gene_1337		product_name=hypothetical protein
gene_1338		product_name=Protein of unknown function (DUF3767)-domain containing protein
gene_1339		product_name=DNA polymerase epsilon catalytic subunit A
gene_1340		product_name=putative calcium/calmodulin dependent protein kinase
gene_1342		product_name=AMMECR1 family protein
gene_1345		product_name=vacuolar protein sorting-associated protein 4
gene_1346		product_name=putative prefoldin subunit 6
gene_1347		product_name=phosphoglycerate mutase%2C 2%2C3-bisphosphoglycerate-independent
gene_1348		product_name=RNA polymerase II transcription mediator complex subunit 9-domain containing protein
gene_1349		product_name=glycine/serine hydroxymethyltransferase
gene_1350		product_name=putative prenylcysteine lyase
gene_1355		product_name=Concanavalin A-like lectin/glucanase domain-containing protein
gene_1357		product_name=putative P450 family fatty acid hydroxylase
gene_1358		product_name=extracellular proline-glycine rich protein
gene_1361		product_name=putative glycan biosynthesis protein
gene_1366		product_name=hypothetical protein
gene_1370		product_name=Glyoxalase-like domain-domain containing protein
gene_1371		product_name=putative sulfur metabolite repression control protein
gene_1373		product_name=hypothetical protein
gene_1378		product_name=putative efflux pump antibiotic resistance protein
gene_1383		product_name=putative arsenite efflux transporter
gene_1392		product_name=hypothetical protein
gene_1393		product_name=putative tubulin-specific chaperone c
gene_1395		product_name=hypothetical protein
gene_1397		product_name=hypothetical protein
gene_1398		product_name=hypothetical protein
gene_1399		product_name=putative coatomer subunit alpha
gene_1401		product_name=putative transcriptional regulator
gene_1402		product_name=putative AP-1 adaptor complex subunit beta
gene_1403		product_name=putative alcohol dehydrogenase
